name,packaging,inn,atc,distributor,releasable_by,shortage,releasable
Abilify 15 mg dispersed tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 15 mg tablets 28 x -,28 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 15 mg tablets 49 x -,49 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 15 mg tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg dispersed tablets 56 x -,56 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg dispersed tablets 98 x -,98 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg dispersed tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg tablets 28 x -,28 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg tablets 49 x -,49 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 30 mg tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 5 mg tablets 56 x -,56 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 5 mg tablets 98 x -,98 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 5 mg tablets 14 x -,14 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 5 mg tablets 28 x -,28 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 5 mg tablets 49 x -,49 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify 7.5 mg/ml solution injection 56 x -,56 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 300 mg powder and solvent for retard suspension injection 98 x -,98 x -,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 300 mg powder and solvent for retard suspension injection 1 x 1.3 ml,1 x 1.3 ml,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,I,0,1
Abilify Mainnaa 300 mg of powder and solvent for retard suspension injection 1 x - dust glass+solvent glass,1 x - dust glass+solvent glass,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 300 mg of powder and solvent for retard suspension injection 3 x - dust glass+solvent glass,3 x - dust glass+solvent glass,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 400 mg of powder and solvent for retard suspension injection 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 400 mg of powder and solvent for retard suspension injection 3 x - in a pre -filled syringe,3 x - in a pre -filled syringe,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 400 mg of powder and solvent for retard suspension injection 1 x - dust glass+solvent glass,1 x - dust glass+solvent glass,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abilify Mainnaa 400 mg of powder and solvent for retard suspension injection 3 x - dust glass+solvent glass,3 x - dust glass+solvent glass,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 3 x - in a pre -filled syringe,3 x - in a pre -filled syringe,aripiprazole,N05AX12,'Otsuka Pharmaceutical Netherlands B.V.,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 10 x - in bubble packaging,10 x - in bubble packaging,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 10 x 1 - per serving bubble package per serving,10 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 14 x - in bubble packaging,14 x - in bubble packaging,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 14 x 1 - per serving bubble package per serving,14 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Stada 500 mg film -coated tablets 112 x - in bubble packaging,112 x - in bubble packaging,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Teva 500 mg of film -coated tablets 112 x 1 - per serving bubble pack,112 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Stada Arzneimittel AG,Sz,0,1
Abirateron Zentiva 250 mg tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Teva B.V.,Sz,0,1
Abirateron Zentiva 500 mg of film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Teva B.V.,Sz,0,1
Abirateron Zentiva 500 mg of film -coated tablets 120 x - HDPE tank,120 x - HDPE tank,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abirateron Zentiva 500 mg of film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abirateron Zentiva 500 mg of film -coated tablets 60 x - HDPE container,60 x - HDPE container,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abirateron Zentiva 500 mg of film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abiraterone Accord 250 mg tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abiraterone Accord 500 mg film -coated tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,"'Zentiva, k.s. (Csehország)",Sz,0,1
Abiraterone Accord 500 mg film -coated tablets 120 x - HDPE tank,120 x - HDPE tank,abiraterone,L02BX03,'Accord Healthcare S.L.U.,Sz,0,1
Abiraterone G.L. 500 mg of film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone,L02BX03,'Accord Healthcare S.L.U.,Sz,0,1
Abiraterone G.L. 500 mg of film -coated tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone,L02BX03,'Accord Healthcare S.L.U.,Sz,0,1
Abiraterone G.L. 500 mg of film -coated tablets 60 x - HDPE container,60 x - HDPE container,abiraterone acetate ,L02BX03,'G.L. Pharma GmbH,Sz,0,1
Abiraterone Krka 500 mg film -coated tablets 60 x 1 - in bubble packaging,60 x 1 - in bubble packaging,abiraterone acetate ,L02BX03,'G.L. Pharma GmbH,Sz,0,1
Abiraterone Krka 500 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone,L02BX03,'Krka d.d.,Sz,0,1
Abiraterone Mylan 500 mg film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone,L02BX03,'Krka d.d.,Sz,0,1
Abiraterone Mylan 500 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone,L02BX03,'Krka d.d.,Sz,0,1
Abiraterone Mylan 500 mg film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 500 mg film -coated tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 30 x - HDPE container,30 x - HDPE container,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 28 x - HDPE container,28 x - HDPE container,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 28 x - in bubble packaging,28 x - in bubble packaging,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Mylan 1000 mg of film -coated tablets 28 x 1 - per serving bubble pack,28 x 1 - per serving bubble pack,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Pharmascience 500 mg film -coated tablets 30 x 1 - per serving bubble package per serving,30 x 1 - per serving bubble package per serving,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Qilu 250 mg tablets 28 x - HDPE container,28 x - HDPE container,abiraterone,L02BX03,'Mylan Ireland Ltd.,Sz,0,1
Abiraterone Qilu 500 mg film -coated tablets 60 x - in a transparent bubble pack,60 x - in a transparent bubble pack,abiraterone acetate ,L02BX03,'Pharmascience International Ltd.,Sz,0,1
Abiraterone Qilu 500 mg film -coated tablets 120 x - HDPE tank,120 x - HDPE tank,abiraterone acetate ,L02BX03,'Qilu Pharma Spain S.L.,Sz,0,1
Abiraterone Richter 500 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Qilu Pharma Spain S.L.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Qilu Pharma Spain S.L.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone acetate ,L02BX03,'Richter Gedeon Nyrt.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 60 x - HDPE container,60 x - HDPE container,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 60 x 1 - per serving bubble package per serving,60 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 84 x - in bubble packaging,84 x - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 84 x 1 - per serving bubble pack,84 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 500 mg of film -coated tablets 112 x - in bubble packaging,112 x - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 112 x 1 - per serving bubble pack,112 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 30 x - HDPE container,30 x - HDPE container,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 30 x - in bubble packaging,30 x - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 30 x 1 - per serving bubble package per serving,30 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 2 x 30 - in bubble packaging,2 x 30 - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 2 x (30x1) - per serving bubble package per serving,2 x (30x1) - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 3 x 28 - in bubble packaging,3 x 28 - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 3 x (28x1) - per serving bubble package per serving,3 x (28x1) - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 3 x 30 - in bubble packaging,3 x 30 - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Sandoz 1000 mg of film -coated tablets 3 x (30x1) - per serving bubble package per serving,3 x (30x1) - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 28 x - in bubble packaging,28 x - in bubble packaging,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 28 x 1 - per serving bubble pack,28 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Sandoz Hungária Kft.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,abiraterone acetate ,L02BX03,'Vipharm S.A.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 56 x 1 - per serving bubble pack,56 x 1 - per serving bubble pack,abiraterone acetate ,L02BX03,'Vipharm S.A.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 60 x - HDPE container,60 x - HDPE container,abiraterone acetate ,L02BX03,'Vipharm S.A.,Sz,0,1
Abiraterone Vipharm 500 mg film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,abiraterone acetate ,L02BX03,'Vipharm S.A.,Sz,0,1
"2,5 mg of film -coated tablets 60 x 1 - per serving bubble package per serving",60 x 1 - per serving bubble package per serving,abiraterone acetate ,L02BX03,'Vipharm S.A.,Sz,0,1
"2,5 mg of film -coated tablets 10 x - in bubble packaging",10 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 14 x - in bubble packaging",14 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 20 x - in bubble packaging",20 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 28 x - in bubble packaging",28 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 56 x - in bubble packaging",56 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 60 x - in bubble packaging",60 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
"2,5 mg of film -coated tablets 100 x - in bubble packaging",100 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 168 x - in bubble packaging,168 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 200 x - in bubble packaging,200 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 10 x - in bubble packaging,10 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 14 x - in bubble packaging,14 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 20 x - in bubble packaging,20 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 28 x - in bubble packaging,28 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 56 x - in bubble packaging,56 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 60 x - in bubble packaging,60 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Aboxoma 5 mg film -coated tablets 100 x - in bubble packaging,100 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Abraxane for 5 mg/ml powder for dispersion infusion 168 x - in bubble packaging,168 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Abraxane for 5 mg/ml powder for dispersion infusion 200 x - in bubble packaging,200 x - in bubble packaging,apixaban,B01AF02,'Krka d.d.,J,0,1
Abseamed 1000 IU/0.5 ml of solution injection in an advanced syringe 1 x 100 mg in vial,1 x 100 mg in vial,paclitaxel,L01CD01,'Bristol-Myers Squibb Pharma EEIG,I,0,1
Abseamed 1000 IU/0.5 ml of solution injection in an advanced syringe 1 x 250 mg in vial,1 x 250 mg in vial,paclitaxel,L01CD01,'Bristol-Myers Squibb Pharma EEIG,I,0,1
Abseamed 1000 IU/0.5 ml of solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 1000 IU/0.5 ml of solution injection in an advanced syringe 6 x - in a pre -filled syringe,6 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
Abseamed 2000 IU/1.0 ml solution injection in an advanced syringe 1 x - in a pre -filled syringe,1 x - in a pre -filled syringe,epoetin alfa,B03XA01,'Medice Arzneimittel Pütter GmbH & Co. KG,Sz,0,1
